company,score,Sector,url
Bharat Electronics Ltd,84,Aerospace & Defense Companies,https://www.screener.in/company/BEL/consolidated/
Garden Reach Shipbuilders & Engineers Ltd (GRSE),82,Aerospace & Defense Companies,
Sika Interplant Systems Ltd,81,Aerospace & Defense Companies,https://www.screener.in/company/523606/consolidated/
Hindustan Aeronautics Ltd (HAL),81,Aerospace & Defense Companies,
Zen Technologies Ltd,80,Aerospace & Defense Companies,https://www.screener.in/company/ZENTEC/consolidated/
Krishna Defence & Allied Industries Ltd,80,Aerospace & Defense Companies,https://www.screener.in/company/KRISHNADEF/
Unimech Aerospace and Manufacturing Ltd,76,Aerospace & Defense Companies,https://www.screener.in/company/UNIMECH/consolidated/
Data Patterns (India) Ltd,76,Aerospace & Defense Companies,https://www.screener.in/company/DATAPATTNS/
Taneja Aerospace & Aviation Ltd,72,Aerospace & Defense Companies,https://www.screener.in/company/522229/consolidated/
CFF Fluid Control Ltd,72,Aerospace & Defense Companies,https://www.screener.in/company/543920/
C2C Advanced Systems Ltd,69,Aerospace & Defense Companies,https://www.screener.in/company/C2C/
Paras Defence and Space Technologies Ltd,65,Aerospace & Defense Companies,https://www.screener.in/company/PARAS/consolidated/
Bharat Dynamics Ltd,64,Aerospace & Defense Companies,https://www.screener.in/company/BDL/
Apollo Micro Systems Ltd,63,Aerospace & Defense Companies,https://www.screener.in/company/APOLLO/
Techera Engineering India Ltd,62,Aerospace & Defense Companies,https://www.screener.in/company/TECHERA/
Astra Microwave Products Ltd,59,Aerospace & Defense Companies,https://www.screener.in/company/ASTRAMICRO/consolidated/
AXISCADES Technologies Ltd,59,Aerospace & Defense Companies,https://www.screener.in/company/AXISCADES/consolidated/
Avantel Ltd,53,Aerospace & Defense Companies,https://www.screener.in/company/AVANTEL/consolidated/
Rossell Techsys Ltd,48,Aerospace & Defense Companies,https://www.screener.in/company/ROSSTECH/consolidated/
MTAR Technologies Ltd,45,Aerospace & Defense Companies,https://www.screener.in/company/MTARTECH/
Mishra Dhatu Nigam Ltd (MIDHANI),44,Aerospace & Defense Companies,
Jaykay Enterprises Ltd,39,Aerospace & Defense Companies,https://www.screener.in/company/JAYKAY/consolidated/
DCX Systems Ltd,37,Aerospace & Defense Companies,https://www.screener.in/company/DCXINDIA/consolidated/
Ideaforge Technology Ltd,35,Aerospace & Defense Companies,https://www.screener.in/company/IDEAFORGE/consolidated/
NIBE Ltd,34,Aerospace & Defense Companies,https://www.screener.in/company/NIBE/consolidated/
