company,score,Sector,url
Indian Energy Exchange Ltd,93,Capital Markets Companies,https://www.screener.in/company/IEX/
Canara Robeco Asset Management Company Ltd,88,Capital Markets Companies,https://www.screener.in/company/CRAMC/
HDFC Asset Management Company Ltd,88,Capital Markets Companies,https://www.screener.in/company/HDFCAMC/
Billionbrains Garage Ventures Ltd (Groww),86,Capital Markets Companies,
Aditya Birla Sun Life AMC Ltd,86,Capital Markets Companies,https://www.screener.in/company/ABSLAMC/consolidated/
Multi Commodity Exchange of India Ltd (MCX),86,Capital Markets Companies,
Nippon Life India Asset Management Ltd,86,Capital Markets Companies,https://www.screener.in/company/NAM-INDIA/consolidated/
Computer Age Management Services Ltd (CAMS),85,Capital Markets Companies,
ICICI Prudential Asset Management Co Ltd,85,Capital Markets Companies,https://www.screener.in/company/ICICIAMC/consolidated/
BSE Ltd,84,Capital Markets Companies,https://www.screener.in/company/BSE/consolidated/
Monarch Networth Capital Ltd,83,Capital Markets Companies,https://www.screener.in/company/MONARCH/consolidated/
Dam Capital Advisors Ltd,83,Capital Markets Companies,https://www.screener.in/company/DAMCAPITAL/
Prudent Corporate Advisory Services Ltd,82,Capital Markets Companies,https://www.screener.in/company/PRUDENT/consolidated/
Anand Rathi Wealth Ltd,81,Capital Markets Companies,https://www.screener.in/company/ANANDRATHI/consolidated/
KFin Technologies Ltd,81,Capital Markets Companies,https://www.screener.in/company/KFINTECH/consolidated/
ICRA Ltd,80,Capital Markets Companies,https://www.screener.in/company/ICRA/consolidated/
National Securities Depository Ltd (NSDL),79,Capital Markets Companies,
Central Depository Services (India) Ltd,78,Capital Markets Companies,https://www.screener.in/company/CDSL/consolidated/
Nuvama Wealth Management Ltd,78,Capital Markets Companies,https://www.screener.in/company/NUVAMA/consolidated/
Beacon Trusteeship Ltd,78,Capital Markets Companies,https://www.screener.in/company/BEACON/
Motilal Oswal Financial Services Ltd,76,Capital Markets Companies,https://www.screener.in/company/MOTILALOFS/consolidated/
CARE Ratings Ltd,76,Capital Markets Companies,https://www.screener.in/company/CARERATING/consolidated/
Sodhani Capital Ltd,76,Capital Markets Companies,https://www.screener.in/company/544560/
Swastika Investmart Ltd,74,Capital Markets Companies,https://www.screener.in/company/530585/consolidated/
Anand Rathi Share & Stock Brokers Ltd,73,Capital Markets Companies,https://www.screener.in/company/ARSSBL/
360 ONE WAM Ltd,72,Capital Markets Companies,https://www.screener.in/company/360ONE/consolidated/
Systematix Corporate Services Ltd,71,Capital Markets Companies,https://www.screener.in/company/SYSTMTXC/consolidated/
IIFL Capital Services Ltd,69,Capital Markets Companies,https://www.screener.in/company/IIFLCAPS/consolidated/
Hybrid Financial Services Ltd,69,Capital Markets Companies,https://www.screener.in/company/HYBRIDFIN/consolidated/
Master Trust Ltd,69,Capital Markets Companies,https://www.screener.in/company/MASTERTR/consolidated/
Geojit Financial Services Ltd,69,Capital Markets Companies,https://www.screener.in/company/GEOJITFSL/consolidated/
UTI Asset Management Company Ltd,68,Capital Markets Companies,https://www.screener.in/company/UTIAMC/
Aditya Birla Money Ltd,67,Capital Markets Companies,https://www.screener.in/company/BIRLAMONEY/
Emkay Global Financial Services Ltd,67,Capital Markets Companies,https://www.screener.in/company/EMKAY/consolidated/
Dharni Capital Services Ltd,67,Capital Markets Companies,https://www.screener.in/company/543753/consolidated/
Indbank Merchant Banking Services Ltd,65,Capital Markets Companies,https://www.screener.in/company/INDBANK/
Steel City Securities Ltd,64,Capital Markets Companies,https://www.screener.in/company/STEELCITY/consolidated/
Joindre Capital Services Ltd,63,Capital Markets Companies,https://www.screener.in/company/531861/consolidated/
Dolat Algotech Ltd,62,Capital Markets Companies,https://www.screener.in/company/DOLATALGO/consolidated/
Quest Capital Markets Ltd,61,Capital Markets Companies,https://www.screener.in/company/500069/
SMC Global Securities Ltd,59,Capital Markets Companies,https://www.screener.in/company/SMCGLOBAL/consolidated/
Interactive Financial Services Ltd,59,Capital Markets Companies,https://www.screener.in/company/539692/
Angel One Ltd,59,Capital Markets Companies,https://www.screener.in/company/ANGELONE/consolidated/
LKP Securities Ltd,56,Capital Markets Companies,https://www.screener.in/company/540192/
Twenty First Century Management Services Ltd,56,Capital Markets Companies,https://www.screener.in/company/21STCENMGM/consolidated/
Arihant Capital Markets Ltd,54,Capital Markets Companies,https://www.screener.in/company/ARIHANTCAP/consolidated/
DB (International) Stock Brokers Ltd,54,Capital Markets Companies,https://www.screener.in/company/DBSTOCKBRO/consolidated/
Share India Securities Ltd,53,Capital Markets Companies,https://www.screener.in/company/SHAREINDIA/
Keynote Financial Services Ltd,51,Capital Markets Companies,https://www.screener.in/company/KEYFINSERV/consolidated/
Indo Thai Securities Ltd,51,Capital Markets Companies,https://www.screener.in/company/INDOTHAI/consolidated/
Almondz Global Securities Ltd,50,Capital Markets Companies,https://www.screener.in/company/ALMONDZ/consolidated/
Wallfort Financial Services Ltd,50,Capital Markets Companies,https://www.screener.in/company/532053/
Rikhav Securities Ltd,49,Capital Markets Companies,https://www.screener.in/company/544340/consolidated/
5paisa Capital Ltd,47,Capital Markets Companies,https://www.screener.in/company/5PAISA/
Pune e-Stock Broking Ltd,46,Capital Markets Companies,https://www.screener.in/company/544141/consolidated/
Vedant Asset Ltd,44,Capital Markets Companies,https://www.screener.in/company/543623/
My Money Securities Ltd,38,Capital Markets Companies,https://www.screener.in/company/538862/
Shardul Securities Ltd,35,Capital Markets Companies,https://www.screener.in/company/512393/consolidated/
Inventure Growth & Securities Ltd,35,Capital Markets Companies,https://www.screener.in/company/INVENTURE/consolidated/
Gretex Corporate Services Ltd,34,Capital Markets Companies,https://www.screener.in/company/GCSL/consolidated/
Shriram Asset Management Co Ltd,31,Capital Markets Companies,https://www.screener.in/company/531359/
Khandwala Securities Ltd,28,Capital Markets Companies,https://www.screener.in/company/KHANDSE/consolidated/
Asit C Mehta Financial Services Ltd,27,Capital Markets Companies,
Mefcom Capital Markets Ltd,26,Capital Markets Companies,https://www.screener.in/company/531176/consolidated/
Munoth Capital Markets Ltd,21,Capital Markets Companies,https://www.screener.in/company/511200/
IL&FS Investment Managers Ltd,19,Capital Markets Companies,https://www.screener.in/company/IVC/
GCM Securities Ltd,12,Capital Markets Companies,https://www.screener.in/company/535431/
Onelife Capital Advisors Ltd,12,Capital Markets Companies,https://www.screener.in/company/ONELIFECAP/consolidated/
Gogia Capital Growth Ltd,9,Capital Markets Companies,https://www.screener.in/company/531600/
