company,score,Sector,url
Indraprastha Medical Corporation Ltd,86,Hospital Companies,https://www.screener.in/company/INDRAMEDCO/
Kovai Medical Center & Hospital Ltd,86,Hospital Companies,https://www.screener.in/company/KOVAI/
Jupiter Life Line Hospitals Ltd,79,Hospital Companies,https://www.screener.in/company/JLHL/consolidated/
Global Health Ltd (Medanta),79,Hospital Companies,
Max Healthcare Institute Ltd,79,Hospital Companies,https://www.screener.in/company/MAXHEALTH/consolidated/
Rainbow Childrens Medicare Ltd,79,Hospital Companies,https://www.screener.in/company/RAINBOW/consolidated/
Narayana Hrudayalaya Ltd,78,Hospital Companies,https://www.screener.in/company/NH/consolidated/
KMC Speciality Hospitals (India) Ltd,78,Hospital Companies,https://www.screener.in/company/524520/
Dr Agarwals Eye Hospital Ltd,77,Hospital Companies,https://www.screener.in/company/526783/
Apollo Hospitals Enterprise Ltd,77,Hospital Companies,https://www.screener.in/company/APOLLOHOSP/consolidated/
Yatharth Hospital & Trauma Care Services Ltd,76,Hospital Companies,https://www.screener.in/company/YATHARTH/consolidated/
Fortis Healthcare Ltd,75,Hospital Companies,https://www.screener.in/company/FORTIS/consolidated/
Park Medi World Ltd,74,Hospital Companies,https://www.screener.in/company/PARKHOSPS/consolidated/
Hannah Joseph Hospital Ltd,73,Hospital Companies,https://www.screener.in/company/544687/
Unihealth Hospitals Ltd,72,Hospital Companies,https://www.screener.in/company/UNIHEALTH/consolidated/
Artemis Medicare Services Ltd,72,Hospital Companies,https://www.screener.in/company/ARTEMISMED/
GPT Healthcare Ltd,71,Hospital Companies,https://www.screener.in/company/GPTHEALTH/
Gujarat Kidney & Super Speciality Ltd,71,Hospital Companies,https://www.screener.in/company/GKSL/consolidated/
Dr Agarwals Health Care Ltd,68,Hospital Companies,https://www.screener.in/company/AGARWALEYE/consolidated/
Asarfi Hospital Ltd,68,Hospital Companies,https://www.screener.in/company/543943/
Nephro Care India Ltd,64,Hospital Companies,https://www.screener.in/company/NEPHROCARE/
Aster DM Healthcare Ltd,64,Hospital Companies,https://www.screener.in/company/ASTERDM/consolidated/
Krishna Institute of Medical Sciences Ltd,58,Hospital Companies,https://www.screener.in/company/KIMS/consolidated/
Sangani Hospitals Ltd,55,Hospital Companies,https://www.screener.in/company/SANGANI/consolidated/
Shanmuga Hospital Ltd,54,Hospital Companies,https://www.screener.in/company/544365/
Healthcare Global Enterprises Ltd,46,Hospital Companies,https://www.screener.in/company/HCG/consolidated/
Shalby Ltd,42,Hospital Companies,https://www.screener.in/company/SHALBY/consolidated/
Broach Lifecare Hospital Ltd,41,Hospital Companies,https://www.screener.in/company/544231/
KK Shah Hospitals Ltd,38,Hospital Companies,https://www.screener.in/company/544013/
Maitreya Medicare Ltd,37,Hospital Companies,https://www.screener.in/company/MAITREYA/consolidated/
Aashka Hospitals Ltd,36,Hospital Companies,https://www.screener.in/company/543346/
Lotus Eye Hospital & Institute Ltd,34,Hospital Companies,https://www.screener.in/company/LOTUSEYE/
Abate As Industries Ltd,34,Hospital Companies,https://www.screener.in/company/531658/consolidated/
Aatmaj Healthcare Ltd,33,Hospital Companies,https://www.screener.in/company/AATMAJ/
Fortis Malar Hospitals Ltd,18,Hospital Companies,https://www.screener.in/company/523696/consolidated/
Global Longlife Hospital and Research Ltd,15,Hospital Companies,https://www.screener.in/company/543520/
Soni Medicare Ltd,12,Hospital Companies,https://www.screener.in/company/539378/
