company,score,Sector,url
Cigniti Technologies Ltd,83.0,IT Enabled Services Companies,https://www.screener.in/company/CIGNITITEC/consolidated/
Sahana Systems Ltd,83.0,IT Enabled Services Companies,https://www.screener.in/company/SAHANA/consolidated/
Affle 3i Ltd,81.0,IT Enabled Services Companies,https://www.screener.in/company/AFFLE/consolidated/
Exato Technologies Ltd,80.0,IT Enabled Services Companies,https://www.screener.in/company/544626/
Sagility Ltd,80.0,IT Enabled Services Companies,https://www.screener.in/company/SAGILITY/consolidated/
Onward Technologies Ltd,79.0,IT Enabled Services Companies,https://www.screener.in/company/ONWARDTEC/consolidated/
Dynacons Systems & Solutions Ltd,78.0,IT Enabled Services Companies,https://www.screener.in/company/DSSL/
Netweb Technologies India Ltd,76.0,IT Enabled Services Companies,https://www.screener.in/company/NETWEB/
TechD Cybersecurity Ltd,76.0,IT Enabled Services Companies,https://www.screener.in/company/TECHD/
Datamatics Global Services Ltd,75.0,IT Enabled Services Companies,https://www.screener.in/company/DATAMATICS/consolidated/
Infinity Infoway Ltd,74.0,IT Enabled Services Companies,https://www.screener.in/company/544567/consolidated/
IZMO Ltd,72.0,IT Enabled Services Companies,https://www.screener.in/company/IZMO/consolidated/
Expleo Solutions Ltd,71.0,IT Enabled Services Companies,https://www.screener.in/company/EXPLEOSOL/consolidated/
Sigma Solve Ltd,70.0,IT Enabled Services Companies,https://www.screener.in/company/SIGMA/consolidated/
eMudhra Ltd,67.0,IT Enabled Services Companies,https://www.screener.in/company/EMUDHRA/consolidated/
R Systems International Ltd,67.0,IT Enabled Services Companies,https://www.screener.in/company/RSYSTEMS/consolidated/
Unified Data-Tech Solutions Ltd,66.0,IT Enabled Services Companies,
Excelsoft Technologies Ltd,66.0,IT Enabled Services Companies,https://www.screener.in/company/EXCELSOFT/consolidated/
Elnet Technologies Ltd,64.0,IT Enabled Services Companies,https://www.screener.in/company/517477/
Cyient Ltd,61.0,IT Enabled Services Companies,https://www.screener.in/company/CYIENT/consolidated/
Ivalue Infosolutions Ltd,61.0,IT Enabled Services Companies,https://www.screener.in/company/IVALUE/consolidated/
Benchmark Computer Solutions Ltd,60.0,IT Enabled Services Companies,https://www.screener.in/company/544052/
Sattrix Information Security Ltd,59.0,IT Enabled Services Companies,https://www.screener.in/company/544189/consolidated/
L&T Technology Services Ltd,58.0,IT Enabled Services Companies,https://www.screener.in/company/LTTS/consolidated/
Praruh Technologies Ltd,58.0,IT Enabled Services Companies,https://www.screener.in/company/544538/
Saven Technologies Ltd,57.0,IT Enabled Services Companies,https://www.screener.in/company/532404/
Genesys International Corporation Ltd,54.0,IT Enabled Services Companies,https://www.screener.in/company/GENESYS/consolidated/
BLS E-Services Ltd,54.0,IT Enabled Services Companies,https://www.screener.in/company/BLSE/consolidated/
Prodocs Solutions Ltd,54.0,IT Enabled Services Companies,https://www.screener.in/company/544643/consolidated/
Black Box Ltd,53.0,IT Enabled Services Companies,https://www.screener.in/company/BBOX/consolidated/
Infonative Solutions Ltd,51.0,IT Enabled Services Companies,https://www.screener.in/company/544393/
Titan Intech Ltd,51.0,IT Enabled Services Companies,https://www.screener.in/company/521005/
Matrix Geo Solutions Ltd,51.0,IT Enabled Services Companies,https://www.screener.in/company/MGSL/
Sancode Technologies Ltd,50.0,IT Enabled Services Companies,https://www.screener.in/company/543897/consolidated/
Meta Infotech Ltd,49.0,IT Enabled Services Companies,https://www.screener.in/company/544441/
Enser Communications Ltd,48.0,IT Enabled Services Companies,https://www.screener.in/company/ENSER/
Protean eGov Technologies Ltd,48.0,IT Enabled Services Companies,https://www.screener.in/company/PROTEAN/consolidated/
Veefin Solutions Ltd,46.0,IT Enabled Services Companies,https://www.screener.in/company/543931/consolidated/
Zaggle Prepaid Ocean Services Ltd,46.0,IT Enabled Services Companies,https://www.screener.in/company/ZAGGLE/
Icodex Publishing Solutions Ltd,45.0,IT Enabled Services Companies,https://www.screener.in/company/544483/
ROX Hi-Tech Ltd,44.0,IT Enabled Services Companies,https://www.screener.in/company/ROXHITECH/
Riddhi Corporate Services Ltd,44.0,IT Enabled Services Companies,https://www.screener.in/company/540590/
Optivalue Tek Consulting Ltd,43.0,IT Enabled Services Companies,https://www.screener.in/company/OPTIVALUE/
Bartronics India Ltd,43.0,IT Enabled Services Companies,https://www.screener.in/company/ASMS/
Brightcom Group Ltd,42.0,IT Enabled Services Companies,https://www.screener.in/company/BCG/consolidated/
Network People Services Technologies Ltd,41.0,IT Enabled Services Companies,https://www.screener.in/company/NPST/consolidated/
Airan Ltd,40.0,IT Enabled Services Companies,https://www.screener.in/company/AIRAN/consolidated/
Amagi Media Labs Ltd,39.0,IT Enabled Services Companies,https://www.screener.in/company/AMAGI/consolidated/
Vedavaag Systems Ltd,39.0,IT Enabled Services Companies,https://www.screener.in/company/533056/consolidated/
WEP Solutions Ltd,37.0,IT Enabled Services Companies,https://www.screener.in/company/532373/
Ram Info Ltd,35.0,IT Enabled Services Companies,https://www.screener.in/company/530951/consolidated/
Panache Digilife Ltd,34.0,IT Enabled Services Companies,https://www.screener.in/company/PANACHE/
Kellton Tech Solutions Ltd,33.0,IT Enabled Services Companies,https://www.screener.in/company/KELLTONTEC/consolidated/
Inspirisys Solutions Ltd,33.0,IT Enabled Services Companies,https://www.screener.in/company/INSPIRISYS/consolidated/
Euphoria Infotech (India) Ltd,32.0,IT Enabled Services Companies,https://www.screener.in/company/544094/consolidated/
Inventurus Knowledge Solutions Ltd,31.0,IT Enabled Services Companies,https://www.screener.in/company/IKS/consolidated/
Globesecure Technologies Ltd,30.0,IT Enabled Services Companies,https://www.screener.in/company/GSTL/
E2E Networks Ltd,28.0,IT Enabled Services Companies,https://www.screener.in/company/E2E/
Globtier Infotech Ltd,28.0,IT Enabled Services Companies,https://www.screener.in/company/544494/consolidated/
3C IT Solutions & Telecoms (India) Ltd,27.0,IT Enabled Services Companies,https://www.screener.in/company/544190/
Allied Digital Services Ltd,26.5,IT Enabled Services Companies,https://www.screener.in/company/ADSL/consolidated/
Sasken Technologies Ltd,25.0,IT Enabled Services Companies,https://www.screener.in/company/SASKEN/consolidated/
Takyon Networks Ltd,25.0,IT Enabled Services Companies,https://www.screener.in/company/544471/consolidated/
Vakrangee Ltd,22.0,IT Enabled Services Companies,https://www.screener.in/company/VAKRANGEE/consolidated/
PCS Technology Ltd,22.0,IT Enabled Services Companies,https://www.screener.in/company/517119/consolidated/
ACS Technologies Ltd,22.0,IT Enabled Services Companies,https://www.screener.in/company/ACSTECH/consolidated/
Bodhtree Consulting Ltd,21.0,IT Enabled Services Companies,https://www.screener.in/company/539122/
Panabyte Technologies Ltd,21.0,IT Enabled Services Companies,https://www.screener.in/company/538742/
United Interactive Ltd,21.0,IT Enabled Services Companies,https://www.screener.in/company/502893/consolidated/
GSS Infotech Ltd,20.0,IT Enabled Services Companies,https://www.screener.in/company/GSS/consolidated/
iStreet Network Ltd,20.0,IT Enabled Services Companies,https://www.screener.in/company/524622/
Dev Information Technology Ltd,19.0,IT Enabled Services Companies,https://www.screener.in/company/DEVIT/consolidated/
Odigma Consultancy Solutions Ltd,19.0,IT Enabled Services Companies,https://www.screener.in/company/ODIGMA/
Intense Technologies Ltd,17.0,IT Enabled Services Companies,https://www.screener.in/company/INTENTECH/consolidated/
Synoptics Technologies Ltd,17.0,IT Enabled Services Companies,https://www.screener.in/company/SYNOPTICS/consolidated/
Digitide Solutions Ltd,16.0,IT Enabled Services Companies,https://www.screener.in/company/DIGITIDE/consolidated/
Octaware Technologies Ltd,15.0,IT Enabled Services Companies,https://www.screener.in/company/540416/consolidated/
Sylph Industries Ltd,15.0,IT Enabled Services Companies,https://www.screener.in/company/511447/consolidated/
Vertexplus Technologies Ltd,15.0,IT Enabled Services Companies,https://www.screener.in/company/VERTEXPLUS/consolidated/
Quadpro ITeS Ltd,14.0,IT Enabled Services Companies,https://www.screener.in/company/QUADPRO/
VL E-Governance & IT Solutions Ltd,14.0,IT Enabled Services Companies,https://www.screener.in/company/VLEGOV/
FCS Software Solutions Ltd,13.0,IT Enabled Services Companies,https://www.screener.in/company/FCSSOFT/consolidated/
DCM Ltd,12.0,IT Enabled Services Companies,https://www.screener.in/company/DCM/consolidated/
DigiSpice Technologies Ltd,12.0,IT Enabled Services Companies,https://www.screener.in/company/DIGISPICE/consolidated/
SGL Resources Ltd,12.0,IT Enabled Services Companies,https://www.screener.in/company/526544/consolidated/
Orient Technologies Ltd,10.0,IT Enabled Services Companies,https://www.screener.in/company/ORIENTTECH/consolidated/
Lee & Nee Software (Exports) Ltd,10.0,IT Enabled Services Companies,https://www.screener.in/company/517415/consolidated/
Palred Technologies Ltd,10.0,IT Enabled Services Companies,https://www.screener.in/company/PALREDTEC/consolidated/
Handson Global Management (HGM) Ltd,10.0,IT Enabled Services Companies,https://www.screener.in/company/HGM/consolidated/
Soma Paper and Industries Ltd.,10.0,IT Enabled Services Companies,
Aurum Proptech Ltd,9.0,IT Enabled Services Companies,https://www.screener.in/company/AURUM/consolidated/
