company,score,Sector,url
Five-Star Business Finance Ltd,86,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/FIVESTAR/
CSL Finance Ltd,83,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/CSLFINANCE/
Aryaman Financial Services Ltd,83,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/530245/consolidated/
Muthoot Finance Ltd,82,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/MUTHOOTFIN/consolidated/
Authum Investment & Infrastructure Ltd,82,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/AIIL/
Bajaj Finance Ltd,81,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/BAJFINANCE/consolidated/
Morgan Ventures Ltd,81,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/526237/
Unifinz Capital India Ltd,78,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/541358/
Sugal & Damani Share Brokers Ltd,78,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/511654/
Emerald Finance Ltd,77,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/538882/consolidated/
SBFC Finance Ltd,76,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/SBFC/
SG Finserve Ltd,76,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/SGFIN/
Shalibhadra Finance Ltd,76,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/511754/
Consolidated Finvest & Holdings Ltd,76,Non Banking Financial Company (NBFC) Companies,
Cholamandalam Investment & Finance Company Ltd,75,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/CHOLAFIN/consolidated/
Shriram Finance Ltd,74,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/SHRIRAMFIN/consolidated/
JMJ Fintech Ltd,74,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/538834/
MAS Financial Services Ltd,73,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/MASFIN/consolidated/
SKP Securities Ltd,73,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/531169/
Laxmi India Finance Ltd,73,Non Banking Financial Company (NBFC) Companies,
