company,score,Sector,url
Bank of Maharashtra,87,Public Sector Bank Companies,https://www.screener.in/company/MAHABANK/consolidated/
State Bank of India,86,Public Sector Bank Companies,https://www.screener.in/company/SBIN/consolidated/
Indian Bank,84,Public Sector Bank Companies,https://www.screener.in/company/INDIANB/consolidated/
Canara Bank,84,Public Sector Bank Companies,https://www.screener.in/company/CANBK/consolidated/
Bank of Baroda,77,Public Sector Bank Companies,https://www.screener.in/company/BANKBARODA/consolidated/
Bank of India,77,Public Sector Bank Companies,https://www.screener.in/company/BANKINDIA/consolidated/
Union Bank of India,77,Public Sector Bank Companies,https://www.screener.in/company/UNIONBANK/consolidated/
Punjab National Bank,74,Public Sector Bank Companies,https://www.screener.in/company/PNB/consolidated/
Central Bank of India,70,Public Sector Bank Companies,https://www.screener.in/company/CENTRALBK/consolidated/
Indian Overseas Bank,69,Public Sector Bank Companies,https://www.screener.in/company/IOB/
UCO Bank,61,Public Sector Bank Companies,https://www.screener.in/company/UCOBANK/
Punjab & Sind Bank,56,Public Sector Bank Companies,https://www.screener.in/company/PSB/
