company,score,Sector,url
Bharat Electronics Ltd,84.0,Aerospace & Defense Companies,https://www.screener.in/company/BEL/consolidated/
Garden Reach Shipbuilders & Engineers Ltd (GRSE),82.0,Aerospace & Defense Companies,
Sika Interplant Systems Ltd,81.0,Aerospace & Defense Companies,https://www.screener.in/company/523606/consolidated/
Hindustan Aeronautics Ltd (HAL),81.0,Aerospace & Defense Companies,
Zen Technologies Ltd,80.0,Aerospace & Defense Companies,https://www.screener.in/company/ZENTEC/consolidated/
Krishna Defence & Allied Industries Ltd,80.0,Aerospace & Defense Companies,https://www.screener.in/company/KRISHNADEF/
Canara Robeco Asset Management Company Ltd,89.0,Asset Management Company Companies,https://www.screener.in/company/CRAMC/
Aditya Birla Sun Life AMC Ltd,85.0,Asset Management Company Companies,https://www.screener.in/company/ABSLAMC/consolidated/
ICICI Prudential Asset Management Co Ltd,85.0,Asset Management Company Companies,https://www.screener.in/company/ICICIAMC/consolidated/
Nippon Life India Asset Management Ltd,84.0,Asset Management Company Companies,https://www.screener.in/company/NAM-INDIA/consolidated/
HDFC Asset Management Company Ltd,83.0,Asset Management Company Companies,https://www.screener.in/company/HDFCAMC/
Indian Energy Exchange Ltd,93.0,Capital Markets Companies,https://www.screener.in/company/IEX/
Systango Technologies Ltd,87.0,Computers - Software & Consulting Companies,https://www.screener.in/company/SYSTANGO/consolidated/
NINtec Systems Ltd,86.0,Computers - Software & Consulting Companies,https://www.screener.in/company/NINSYS/consolidated/
Newgen Software Technologies Ltd,86.0,Computers - Software & Consulting Companies,https://www.screener.in/company/NEWGEN/consolidated/
Identixweb Ltd,85.0,Computers - Software & Consulting Companies,https://www.screener.in/company/544388/consolidated/
Persistent Systems Ltd,83.0,Computers - Software & Consulting Companies,https://www.screener.in/company/PERSISTENT/consolidated/
All E Technologies Ltd (ALLETEC),83.0,Computers - Software & Consulting Companies,
Infosys Ltd,82.0,Computers - Software & Consulting Companies,https://www.screener.in/company/INFY/consolidated/
TAC Infosec Ltd,81.0,Computers - Software & Consulting Companies,https://www.screener.in/company/TAC/consolidated/
Tata Consultancy Services Ltd,81.0,Computers - Software & Consulting Companies,https://www.screener.in/company/TCS/consolidated/
