company,score,Sector,url
Sacheerome Ltd,89,Specialty Chemicals Companies,https://www.screener.in/company/SACHEEROME/
DDev Plastiks Industries Ltd,86,Specialty Chemicals Companies,https://www.screener.in/company/DDEVPLSTIK/
Kronox Lab Sciences Ltd,85,Specialty Chemicals Companies,https://www.screener.in/company/KRONOX/
Patel Chem Specialities Ltd,83,Specialty Chemicals Companies,https://www.screener.in/company/544460/
Amal Ltd,82,Specialty Chemicals Companies,https://www.screener.in/company/506597/consolidated/
Pidilite Industries Ltd,80,Specialty Chemicals Companies,https://www.screener.in/company/PIDILITIND/consolidated/
Foseco India Ltd,79,Specialty Chemicals Companies,https://www.screener.in/company/FOSECOIND/
Jubilant Agri & Consumer Products Ltd,79,Specialty Chemicals Companies,https://www.screener.in/company/JUBLCPL/consolidated/
Epigral Ltd,79,Specialty Chemicals Companies,https://www.screener.in/company/EPIGRAL/
Snehaa Organics Ltd,78,Specialty Chemicals Companies,https://www.screener.in/company/SNEHAA/
SPEB Adhesives Ltd,77,Specialty Chemicals Companies,https://www.screener.in/company/SPEB/
Jyoti Resins and Adhesives Ltd,77,Specialty Chemicals Companies,https://www.screener.in/company/514448/
Chembond Chemicals Ltd,76,Specialty Chemicals Companies,https://www.screener.in/company/CHEMBONDCH/consolidated/
Mehul Colours Ltd,76,Specialty Chemicals Companies,https://www.screener.in/company/544472/
Clean Science & Technology Ltd,76,Specialty Chemicals Companies,https://www.screener.in/company/CLEAN/
Fine Organic Industries Ltd,76,Specialty Chemicals Companies,https://www.screener.in/company/FINEORG/consolidated/
Elantas Beck India Ltd,76,Specialty Chemicals Companies,https://www.screener.in/company/500123/
Navin Fluorine International Ltd,75,Specialty Chemicals Companies,https://www.screener.in/company/NAVINFLUOR/consolidated/
Nitta Gelatin India Ltd,74,Specialty Chemicals Companies,https://www.screener.in/company/506532/consolidated/
Bhansali Engineering Polymers Ltd,72,Specialty Chemicals Companies,https://www.screener.in/company/BEPL/consolidated/
DMCC Speciality Chemicals Ltd,72,Specialty Chemicals Companies,https://www.screener.in/company/DMCC/
Jaysynth Orgochem Ltd,72,Specialty Chemicals Companies,https://www.screener.in/company/524592/
Indian Emulsifiers Ltd,72,Specialty Chemicals Companies,https://www.screener.in/company/IEML/
Eiko Lifesciences Ltd,71,Specialty Chemicals Companies,https://www.screener.in/company/540204/consolidated/
Aether Industries Ltd,71,Specialty Chemicals Companies,https://www.screener.in/company/AETHER/consolidated/
Sunshield Chemicals Ltd,70,Specialty Chemicals Companies,https://www.screener.in/company/530845/
Gujarat Fluorochemicals Ltd,69,Specialty Chemicals Companies,https://www.screener.in/company/FLUOROCHEM/consolidated/
Narmada Gelatines Ltd,69,Specialty Chemicals Companies,https://www.screener.in/company/526739/
Styrenix Performance Materials Ltd,69,Specialty Chemicals Companies,https://www.screener.in/company/STYRENIX/consolidated/
Indian Toners & Developers Ltd,68,Specialty Chemicals Companies,https://www.screener.in/company/523586/
Privi Speciality Chemicals Ltd,68,Specialty Chemicals Companies,https://www.screener.in/company/PRIVISCL/consolidated/
Indo Amines Ltd,68,Specialty Chemicals Companies,https://www.screener.in/company/INDOAMIN/consolidated/
Titan Biotech Ltd,68,Specialty Chemicals Companies,https://www.screener.in/company/524717/consolidated/
Deepak Chemtex Ltd,68,Specialty Chemicals Companies,https://www.screener.in/company/544036/consolidated/
Renol Polychem Ltd,67,Specialty Chemicals Companies,https://www.screener.in/company/RNPL/
Alkyl Amines Chemicals Ltd,66,Specialty Chemicals Companies,https://www.screener.in/company/ALKYLAMINE/
Galaxy Surfactants Ltd,66,Specialty Chemicals Companies,https://www.screener.in/company/GALAXYSURF/consolidated/
India Gelatine & Chemicals Ltd,66,Specialty Chemicals Companies,https://www.screener.in/company/531253/
Crestchem Ltd,65,Specialty Chemicals Companies,https://www.screener.in/company/526269/
Fineotex Chemical Ltd,64,Specialty Chemicals Companies,https://www.screener.in/company/FCL/consolidated/
Resonance Specialities Ltd,64,Specialty Chemicals Companies,https://www.screener.in/company/524218/
Silkflex Polymers (India) Ltd,63,Specialty Chemicals Companies,https://www.screener.in/company/SILKFLEX/
Rossari Biotech Ltd,62,Specialty Chemicals Companies,https://www.screener.in/company/ROSSARI/consolidated/
SK Minerals & Additives Ltd,62,Specialty Chemicals Companies,https://www.screener.in/company/544584/
Excel Industries Ltd,62,Specialty Chemicals Companies,https://www.screener.in/company/EXCELINDUS/consolidated/
Atul Ltd,61,Specialty Chemicals Companies,https://www.screener.in/company/ATUL/consolidated/
HP Adhesives Ltd,59,Specialty Chemicals Companies,https://www.screener.in/company/HPAL/
BASF India Ltd,59,Specialty Chemicals Companies,https://www.screener.in/company/BASF/
Paushak Ltd,59,Specialty Chemicals Companies,https://www.screener.in/company/PAUSHAKLTD/
Dynemic Products Ltd,59,Specialty Chemicals Companies,https://www.screener.in/company/DYNPRO/consolidated/
Cochin Minerals & Rutile Ltd,58,Specialty Chemicals Companies,https://www.screener.in/company/513353/
Deepak Nitrite Ltd,58,Specialty Chemicals Companies,https://www.screener.in/company/DEEPAKNTR/consolidated/
Plastiblends India Ltd,56,Specialty Chemicals Companies,https://www.screener.in/company/PLASTIBLEN/
Chembond Material Technologies Ltd,56,Specialty Chemicals Companies,https://www.screener.in/company/CHEMBOND/consolidated/
Platinum Industries Ltd,55,Specialty Chemicals Companies,https://www.screener.in/company/PLATIND/consolidated/
Hardcastle & Waud Mfg Co Ltd,55,Specialty Chemicals Companies,https://www.screener.in/company/509597/
S H Kelkar & Company Ltd,54,Specialty Chemicals Companies,https://www.screener.in/company/SHK/consolidated/
Jubilant Ingrevia Ltd,54,Specialty Chemicals Companies,https://www.screener.in/company/JUBLINGREA/consolidated/
Dynamic Industries Ltd,54,Specialty Chemicals Companies,https://www.screener.in/company/524818/
Black Rose Industries Ltd,54,Specialty Chemicals Companies,https://www.screener.in/company/514183/consolidated/
Sudarshan Pharma Industries Ltd,53,Specialty Chemicals Companies,https://www.screener.in/company/543828/consolidated/
Multibase India Ltd,53,Specialty Chemicals Companies,https://www.screener.in/company/526169/
Dai-ichi Karkaria Ltd,52,Specialty Chemicals Companies,https://www.screener.in/company/526821/consolidated/
Saroja Pharma Industries India Ltd,52,Specialty Chemicals Companies,https://www.screener.in/company/SAROJA/
Balaji Amines Ltd,51,Specialty Chemicals Companies,https://www.screener.in/company/BALAMINES/consolidated/
Nikhil Adhesives Ltd,50,Specialty Chemicals Companies,https://www.screener.in/company/526159/
Archean Chemical Industries Ltd,50,Specialty Chemicals Companies,https://www.screener.in/company/ACI/consolidated/
Gem Aromatics Ltd,49,Specialty Chemicals Companies,https://www.screener.in/company/GEMAROMA/consolidated/
Anupam Rasayan India Ltd,48,Specialty Chemicals Companies,https://www.screener.in/company/ANURAS/consolidated/
Shlokka Dyes Ltd,48,Specialty Chemicals Companies,https://www.screener.in/company/544582/
Jayant Agro Organics Ltd,48,Specialty Chemicals Companies,https://www.screener.in/company/JAYAGROGN/consolidated/
Indian Phosphate Ltd,48,Specialty Chemicals Companies,https://www.screener.in/company/IPHL/consolidated/
IVP Ltd,46,Specialty Chemicals Companies,https://www.screener.in/company/IVP/
Hindcon Chemicals Ltd,46,Specialty Chemicals Companies,https://www.screener.in/company/HINDCON/consolidated/
NOCIL Ltd,45,Specialty Chemicals Companies,https://www.screener.in/company/NOCIL/consolidated/
Polson Ltd,45,Specialty Chemicals Companies,https://www.screener.in/company/507645/
Aarti Surfactants Ltd,44,Specialty Chemicals Companies,https://www.screener.in/company/AARTISURF/consolidated/
Laxmi Organic Industries Ltd,43,Specialty Chemicals Companies,https://www.screener.in/company/LXCHEM/consolidated/
Rite Zone Chemcon India Ltd,43,Specialty Chemicals Companies,https://www.screener.in/company/RITEZONE/
Bhatia Colour Chem Ltd,42,Specialty Chemicals Companies,https://www.screener.in/company/543497/
Indo Euro Indchem Ltd,42,Specialty Chemicals Companies,https://www.screener.in/company/524458/
Technichem Organics Ltd,42,Specialty Chemicals Companies,https://www.screener.in/company/544327/
Neogen Chemicals Ltd,41,Specialty Chemicals Companies,https://www.screener.in/company/NEOGEN/consolidated/
Deep Polymers Ltd,41,Specialty Chemicals Companies,https://www.screener.in/company/541778/
Chemcon Speciality Chemicals Ltd,41,Specialty Chemicals Companies,https://www.screener.in/company/CHEMCON/
AVI Polymers Ltd,39,Specialty Chemicals Companies,
Arvee Laboratories (India) Ltd,38,Specialty Chemicals Companies,https://www.screener.in/company/ARVEE/
Aarti Industries Ltd,38,Specialty Chemicals Companies,https://www.screener.in/company/AARTIIND/consolidated/
Kemistar Corporation Ltd,36,Specialty Chemicals Companies,https://www.screener.in/company/531163/consolidated/
Oriental Aromatics Ltd,36,Specialty Chemicals Companies,https://www.screener.in/company/OAL/consolidated/
