company,score,Sector,url
Billionbrains Garage Ventures Ltd,83,Stockbroking & Allied Companies,https://www.screener.in/company/GROWW/consolidated/
Angel One Ltd,80,Stockbroking & Allied Companies,https://www.screener.in/company/ANGELONE/consolidated/
IIFL Capital Services Ltd,78,Stockbroking & Allied Companies,https://www.screener.in/company/IIFLCAPS/consolidated/
Nuvama Wealth Management Ltd,78,Stockbroking & Allied Companies,https://www.screener.in/company/NUVAMA/consolidated/
Dam Capital Advisors Ltd,78,Stockbroking & Allied Companies,https://www.screener.in/company/DAMCAPITAL/
Monarch Networth Capital Ltd,78,Stockbroking & Allied Companies,https://www.screener.in/company/MONARCH/consolidated/
Motilal Oswal Financial Services Ltd,77,Stockbroking & Allied Companies,https://www.screener.in/company/MOTILALOFS/consolidated/
Master Trust Ltd,77,Stockbroking & Allied Companies,https://www.screener.in/company/MASTERTR/consolidated/
Arihant Capital Markets Ltd,74,Stockbroking & Allied Companies,https://www.screener.in/company/ARIHANTCAP/consolidated/
Anand Rathi Share & Stock Brokers Ltd,71,Stockbroking & Allied Companies,https://www.screener.in/company/ARSSBL/
Systematix Corporate Services Ltd,68,Stockbroking & Allied Companies,https://www.screener.in/company/SYSTMTXC/consolidated/
Aditya Birla Money Ltd,66,Stockbroking & Allied Companies,https://www.screener.in/company/BIRLAMONEY/
SMC Global Securities Ltd,66,Stockbroking & Allied Companies,https://www.screener.in/company/SMCGLOBAL/consolidated/
Hybrid Financial Services Ltd,65,Stockbroking & Allied Companies,https://www.screener.in/company/HYBRIDFIN/consolidated/
Swastika Investmart Ltd,65,Stockbroking & Allied Companies,https://www.screener.in/company/530585/consolidated/
Emkay Global Financial Services Ltd,64,Stockbroking & Allied Companies,https://www.screener.in/company/EMKAY/consolidated/
360 ONE WAM Ltd,63,Stockbroking & Allied Companies,https://www.screener.in/company/360ONE/consolidated/
Geojit Financial Services Ltd,62,Stockbroking & Allied Companies,https://www.screener.in/company/GEOJITFSL/consolidated/
Almondz Global Securities,62,Stockbroking & Allied Companies,
Pune e-Stock Broking Ltd,61,Stockbroking & Allied Companies,https://www.screener.in/company/544141/consolidated/
5paisa Capital Ltd,61,Stockbroking & Allied Companies,https://www.screener.in/company/5PAISA/
Dolat Algotech Ltd,61,Stockbroking & Allied Companies,https://www.screener.in/company/DOLATALGO/consolidated/
Share India Securities Ltd,61,Stockbroking & Allied Companies,https://www.screener.in/company/SHAREINDIA/consolidated/
Indbank Merchant Banking Services Ltd,60,Stockbroking & Allied Companies,https://www.screener.in/company/INDBANK/
Keynote Financial Services Ltd,60,Stockbroking & Allied Companies,https://www.screener.in/company/KEYFINSERV/consolidated/
Steel City Securities Ltd,60,Stockbroking & Allied Companies,https://www.screener.in/company/STEELCITY/consolidated/
Joindre Capital Services Ltd,58,Stockbroking & Allied Companies,https://www.screener.in/company/531861/consolidated/
LKP Securities Ltd,55,Stockbroking & Allied Companies,https://www.screener.in/company/540192/
DB (International) Stock Brokers Ltd,55,Stockbroking & Allied Companies,https://www.screener.in/company/DBSTOCKBRO/consolidated/
My Money Securities Ltd,48,Stockbroking & Allied Companies,https://www.screener.in/company/538862/
Rikhav Securities Ltd,47,Stockbroking & Allied Companies,https://www.screener.in/company/544340/consolidated/
Indo Thai Securities Ltd,46,Stockbroking & Allied Companies,https://www.screener.in/company/INDOTHAI/consolidated/
Wallfort Financial Services Ltd,42,Stockbroking & Allied Companies,https://www.screener.in/company/532053/
Asit C Mehta Financial Services Ltd,40,Stockbroking & Allied Companies,
Shardul Securities Ltd,38,Stockbroking & Allied Companies,https://www.screener.in/company/512393/consolidated/
Munoth Capital Markets Ltd,33,Stockbroking & Allied Companies,https://www.screener.in/company/511200/
Khandwala Securities Ltd,32,Stockbroking & Allied Companies,https://www.screener.in/company/KHANDSE/consolidated/
Inventure Growth & Securities Ltd,32,Stockbroking & Allied Companies,https://www.screener.in/company/INVENTURE/consolidated/
GCM Securities Ltd,30,Stockbroking & Allied Companies,https://www.screener.in/company/535431/
Onelife Capital Advisors Ltd,22,Stockbroking & Allied Companies,https://www.screener.in/company/ONELIFECAP/consolidated/
Gogia Capital Growth Ltd,22,Stockbroking & Allied Companies,https://www.screener.in/company/531600/
